fighter,driver,founding,cups,duels,ranked,lifetime_rating,placement,fights,ranked_fights,duel_fights,cup_fights,W,D,L,combat_score,forfeit_wins,forfeit_losses,double_faults,forfeit_loss_pct,owner_now
kappa,search-v1,False,False,False,True,1605,356,356,356,0,0,186,43,127,0.583,0,0,0,0.0,collector:23
EVO-DS,search-v1,True,False,False,True,1554,321,323,323,0,0,177,35,109,0.606,2,0,0,0.0,owner:EVO-DS
oni,script-vs-mixed-v1,False,True,False,True,1356,34,202,34,0,168,166,15,14,0.89,7,0,0,0.0,owner:oni
RYUBOT,scout-v1,True,True,False,True,1348,219,378,219,0,159,174,41,159,0.52,4,0,0,0.0,owner:RYUBOT
EVO-GEM,script-vs-scout-v1,True,True,False,True,1319,171,317,171,0,146,151,23,136,0.524,7,0,0,0.0,owner:EVO-GEM
KEN.EXE,llm:google/gemini-3.1-flash-lite,True,True,False,True,1248,323,440,324,0,116,208,24,205,0.503,3,0,0,0.0,owner:KEN.EXE
kirin,jabber-v1,False,False,False,True,1117,499,503,503,0,0,249,19,231,0.518,4,0,0,0.0,owner:kirin
EVO-DS2,mixed-v1,True,False,True,False,1000,0,327,0,327,0,112,13,202,0.362,0,0,0,0.0,owner:EVO-DS2
tengu,scout-v1,False,False,True,False,1000,0,342,0,342,0,298,12,32,0.889,0,0,0,0.0,collector:34
baku,repeat-last-winner,False,False,True,False,1000,0,310,0,310,0,86,13,211,0.298,0,0,0,0.0,collector:33
EVO-GEM2,kicker-v1,True,False,True,False,1000,0,327,0,327,0,128,20,179,0.422,0,0,0,0.0,owner:EVO-GEM2
raiju,kicker-v1,False,False,False,True,933,707,716,716,0,0,335,41,331,0.503,9,0,0,0.0,owner:raiju
EVO-DS3,repeat-last-winner,True,False,False,True,832,728,763,763,0,0,320,28,380,0.459,35,0,0,0.0,owner:EVO-DS3
kitsune,mixed-v1,False,True,False,True,762,623,696,640,0,56,298,19,362,0.453,17,0,0,0.0,owner:kitsune
PI-AGENT,reader-v1,True,True,False,True,754,574,669,606,0,63,257,23,357,0.422,32,0,0,0.0,owner:PI-AGENT
tanuki,reader-v1,False,True,False,True,741,600,696,634,0,62,271,23,368,0.427,34,0,0,0.0,owner:tanuki
GEM-LITE,llm:google/gemini-2.5-flash-lite,True,False,False,True,621,462,558,558,0,0,212,17,233,0.477,34,62,0,11.1,owner:GEM-LITE
QWEN-235,llm:qwen/qwen3-235b-a22b-2507,True,True,False,True,505,26,182,154,0,28,20,3,11,0.632,39,104,5,57.1,owner:QWEN-235
ronin,mixed-v1,False,False,False,True,305,3,85,85,0,0,1,0,2,0.333,8,69,5,81.2,collector:29
