fight_id,contest_id,mode,A,B,rating_A,rating_B,kind,winner,result,stage,end_tick,rounds,beats,hp_A,hp_B
1,1,ranked,QWEN-235,EVO-GEM,1000,1000,COMBAT,B,KO,,59,2,10,0,32
2,2,ranked,GEM-LITE,PI-AGENT,1000,1000,COMBAT,B,HP,,85,3,18,8,14
3,3,ranked,kappa,EVO-DS,1000,1000,COMBAT,B,KO,,60,2,8,0,16
4,4,ranked,kitsune,EVO-DS3,1000,1000,COMBAT,B,HP,,86,3,18,18,30
5,5,ranked,oni,tanuki,1000,1000,COMBAT,A,KO,,91,3,13,36,0
6,6,ranked,KEN.EXE,raiju,1000,1000,COMBAT,A,KO,,65,2,10,22,0
7,7,ranked,RYUBOT,kirin,1000,1000,COMBAT,,DOUBLE_KO,,90,3,13,0,0
8,8,ranked,EVO-DS,ronin,1016,1000,FORFEIT,A,,REVEAL,100,0,0,,
9,9,ranked,kappa,raiju,984,984,COMBAT,A,KO,,122,2,8,40,0
10,10,ranked,GEM-LITE,EVO-DS3,984,1016,FORFEIT,B,,REVEAL,184,2,12,80,70
11,11,ranked,oni,kirin,1016,1000,COMBAT,A,KO,,152,2,9,28,0
12,12,ranked,EVO-DS,raiju,1031,968,COMBAT,A,KO,,183,2,8,40,0
13,13,ranked,oni,kappa,1031,1000,COMBAT,A,KO,,216,2,11,8,0
14,14,ranked,kirin,raiju,985,955,COMBAT,A,KO,,243,2,12,16,0
15,15,ranked,EVO-DS,EVO-DS3,1044,1030,COMBAT,B,KO,,244,2,11,0,32
16,16,cup,tanuki,RYUBOT,984,1000,COMBAT,B,KO,,275,2,12,0,46
17,17,cup,QWEN-235,EVO-GEM,984,1016,COMBAT,A,KO,,274,2,12,12,0
18,18,cup,kitsune,KEN.EXE,984,1016,COMBAT,A,HP,,303,3,18,28,10
19,19,ranked,oni,EVO-DS,1046,1028,COMBAT,A,KO,,304,2,11,26,0
20,20,ranked,kappa,raiju,985,940,COMBAT,A,KO,,302,2,12,26,0
21,21,ranked,kirin,EVO-DS3,1000,1046,COMBAT,B,KO,,334,3,13,0,12
22,17,cup,QWEN-235,EVO-GEM,984,1016,FORFEIT,B,,REVEAL,364,2,12,16,20
23,16,cup,tanuki,RYUBOT,984,1000,COMBAT,B,KO,,358,3,13,0,48
24,18,cup,kitsune,KEN.EXE,984,1016,COMBAT,B,HP,,385,3,18,6,52
25,22,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,HP,,390,3,18,8,10
26,23,ranked,kappa,EVO-DS,999,1013,COMBAT,A,KO,,363,2,12,20,0
27,24,ranked,oni,EVO-DS3,1061,1060,COMBAT,,DOUBLE_KO,,419,3,17,0,0
28,25,ranked,kirin,raiju,986,926,COMBAT,A,KO,,394,2,12,16,0
29,26,ranked,EVO-DS,ronin,997,985,FORFEIT,A,,REVEAL,433,1,6,56,64
30,18,cup,kitsune,KEN.EXE,984,1016,COMBAT,B,HP,,466,3,18,10,60
31,22,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,HP,,472,3,18,6,34
32,27,ranked,kappa,kirin,1015,1000,COMBAT,A,KO,,456,2,10,32,0
33,28,ranked,GEM-LITE,raiju,970,912,COMBAT,B,KO,,505,3,15,0,30
34,29,ranked,oni,EVO-DS,1061,1012,COMBAT,A,KO,,488,2,9,10,0
35,30,ranked,kirin,EVO-DS3,985,1060,COMBAT,A,HP,,542,3,18,28,8
36,22,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,KO,,528,2,11,0,60
37,31,ranked,kappa,kitsune,1030,984,COMBAT,A,KO,,553,3,13,40,0
38,32,ranked,EVO-DS,tanuki,998,984,COMBAT,A,KO,,574,3,13,68,0
39,33,ranked,oni,raiju,1075,929,COMBAT,A,KO,,601,2,7,44,0
40,34,ranked,GEM-LITE,kirin,953,1003,COMBAT,A,KO,,629,3,17,4,0
41,35,ranked,kitsune,EVO-DS3,970,1042,COMBAT,B,HP,,637,3,18,18,66
42,36,ranked,kappa,EVO-DS,1044,1013,COMBAT,B,KO,,632,2,8,0,58
43,37,duel,EVO-DS2,tengu,1000,1000,COMBAT,A,KO,,686,3,17,2,0
44,38,ranked,tanuki,raiju,969,918,COMBAT,,DOUBLE_KO,,691,3,13,0,0
45,39,ranked,oni,kirin,1086,986,COMBAT,A,KO,,687,2,9,28,0
46,40,ranked,GEM-LITE,QWEN-235,970,984,COMBAT,B,HP,,717,3,18,30,42
47,41,ranked,kappa,kitsune,1028,957,COMBAT,A,KO,,724,3,15,72,0
48,42,ranked,EVO-DS,EVO-DS3,1029,1055,COMBAT,A,KO,,696,2,10,52,0
49,37,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,KO,,741,2,12,0,84
50,43,ranked,tanuki,kirin,968,974,COMBAT,B,HP,,780,3,18,8,34
51,44,ranked,oni,EVO-DS3,1098,1039,COMBAT,A,KO,,783,3,15,28,0
52,45,ranked,raiju,ronin,919,970,FORFEIT,A,,REVEAL,767,1,6,74,50
53,46,ranked,EVO-DS,GEM-LITE,1045,955,COMBAT,A,KO,,801,3,17,64,0
54,47,ranked,kitsune,QWEN-235,944,999,FORFEIT,A,,REVEAL,792,1,6,48,92
55,37,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,KO,,795,2,9,0,48
56,48,ranked,kappa,kirin,1041,989,COMBAT,A,KO,,838,2,12,28,0
57,49,ranked,tanuki,raiju,953,936,COMBAT,A,HP,,867,3,18,22,12
58,50,ranked,kitsune,EVO-DS3,961,1025,COMBAT,B,HP,,878,3,18,16,22
59,51,ranked,oni,EVO-DS,1112,1058,COMBAT,A,KO,,858,2,9,20,0
60,52,ranked,GEM-LITE,kirin,942,975,COMBAT,A,HP,,926,3,18,56,48
61,53,ranked,oni,kappa,1126,1055,COMBAT,A,KO,,918,2,9,4,0
62,54,ranked,EVO-DS,tanuki,1044,968,COMBAT,A,KO,,925,2,10,52,0
63,55,ranked,kitsune,raiju,948,921,COMBAT,A,KO,,967,3,15,8,0
64,56,duel,tengu,baku,1000,1000,COMBAT,,HP_TIE,,986,3,18,6,6
65,57,ranked,kappa,EVO-DS3,1042,1038,COMBAT,A,KO,,979,2,10,42,0
66,58,ranked,oni,EVO-DS,1139,1057,COMBAT,B,KO,,983,2,12,0,8
67,59,ranked,GEM-LITE,tanuki,959,955,FORFEIT,B,,REVEAL,1020,2,12,66,62
68,60,ranked,kitsune,kirin,963,958,COMBAT,A,KO,,1055,3,14,20,0
69,56,duel,tengu,baku,1000,1000,COMBAT,A,KO,,1068,3,13,48,0
70,61,ranked,oni,kappa,1121,1057,COMBAT,A,KO,,1068,3,13,14,0
71,62,ranked,EVO-DS,EVO-DS3,1075,1023,COMBAT,A,KO,,1072,3,15,42,0
72,63,ranked,tanuki,raiju,971,906,COMBAT,B,KO,,1107,3,13,0,20
73,64,ranked,kitsune,QWEN-235,978,982,FORFEIT,A,,REVEAL,1124,1,6,66,100
74,56,duel,tengu,baku,1000,1000,COMBAT,A,KO,,1150,3,13,34,0
75,65,ranked,kirin,EVO-DS3,943,1009,COMBAT,A,HP,,1159,3,18,34,12
76,66,ranked,oni,EVO-DS,1134,1089,COMBAT,A,KO,,1132,2,9,18,0
77,67,ranked,kappa,tanuki,1044,953,COMBAT,A,KO,,1165,2,12,46,0
78,68,ranked,kitsune,raiju,994,924,COMBAT,A,KO,,1181,2,10,44,0
79,69,ranked,EVO-DS,EVO-DS3,1075,991,COMBAT,A,KO,,1218,2,11,22,0
80,70,ranked,oni,kappa,1148,1057,COMBAT,A,KO,,1227,2,7,44,0
81,71,ranked,tanuki,kirin,940,961,COMBAT,B,KO,,1252,3,17,0,12
82,72,duel,EVO-DS2,baku,1000,1000,COMBAT,A,HP,,1288,3,18,30,22
83,73,ranked,EVO-DS3,raiju,978,911,COMBAT,B,KO,,1304,3,13,0,4
84,74,ranked,EVO-DS,kitsune,1088,1007,COMBAT,A,KO,,1280,2,11,60,0
85,75,ranked,kappa,kirin,1044,976,COMBAT,,DOUBLE_KO,,1339,3,15,0,0
86,76,ranked,GEM-LITE,tanuki,943,925,COMBAT,B,HP,,1342,3,18,44,60
87,77,ranked,oni,EVO-DS,1161,1101,COMBAT,A,KO,,1343,2,7,58,0
88,78,ranked,kitsune,EVO-DS3,994,960,COMBAT,A,HP,,1391,3,18,24,4
89,79,ranked,kirin,raiju,978,929,COMBAT,A,KO,,1397,2,12,16,0
90,80,ranked,kappa,EVO-DS,1042,1087,COMBAT,B,KO,,1404,2,12,0,28
91,81,ranked,tanuki,EVO-DS3,941,946,COMBAT,A,KO,,1479,3,13,42,0
92,82,ranked,GEM-LITE,kitsune,927,1008,COMBAT,B,HP,,1479,3,18,34,70
93,83,ranked,kappa,kirin,1028,992,COMBAT,A,KO,,1463,2,8,52,0
94,84,ranked,kirin,raiju,978,915,COMBAT,A,KO,,1522,2,12,16,0
95,85,ranked,kappa,EVO-DS,1042,1101,COMBAT,A,KO,,1522,2,10,18,0
96,86,ranked,kitsune,EVO-DS3,1021,930,COMBAT,A,KO,,1568,3,15,28,0
97,87,ranked,GEM-LITE,tanuki,914,957,COMBAT,A,KO,,1565,3,18,24,0
98,88,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,HP,,1588,3,18,2,34
99,89,cup,PI-AGENT,RYUBOT,1016,1000,COMBAT,B,KO,,1575,2,10,0,64
100,90,cup,EVO-GEM,KEN.EXE,1016,1016,COMBAT,,HP_TIE,,1600,3,18,26,26
101,91,ranked,kappa,kirin,1059,991,COMBAT,A,KO,,1583,2,10,36,0
102,92,ranked,tanuki,raiju,940,902,COMBAT,B,KO,,1649,3,13,0,22
103,93,ranked,EVO-DS,kitsune,1084,1034,COMBAT,A,KO,,1628,2,9,18,0
104,94,ranked,GEM-LITE,EVO-DS3,931,917,COMBAT,A,KO,,1655,3,17,6,0
105,89,cup,PI-AGENT,RYUBOT,1016,1000,COMBAT,B,KO,,1657,3,14,0,14
106,88,duel,EVO-DS2,tengu,1000,1000,COMBAT,B,HP,,1671,3,18,6,66
107,90,cup,EVO-GEM,KEN.EXE,1016,1016,COMBAT,B,HP,,1682,3,18,6,40
108,95,ranked,oni,kappa,1175,1072,COMBAT,A,KO,,1684,2,9,10,0
109,96,ranked,kitsune,kirin,1020,978,COMBAT,B,KO,,1715,3,17,0,34
